CODIGO_PROYECTO,AREA_ESTRATEGICA,PROGRAMA,INSTRUMENTO,NOMBRE_CONCURSO,ANO_CONCURSO,ANO_FALLO,NOMBRE_PROYECTO,AREA_OCDE,DISCIPLINA_DETALLE,GRUPO DE ESTUDIO,DURACION_MESES,ANO FINALIZACION,TIPO_BENEFICIARIO,NOMBRE_RESPONSABLE,SEXO,INSTITUCION_PRINCIPAL,UBICACION_INSTITUCION,MACROZONA MINCIENCIA (segUn ax),REGION_EJECUCION,MONTO ADJUDICADO (MILES $)
PAI77200078,REC,PAI,SIA,CONVOCATORIA NACIONAL SUBVENCION A LA INSTALACION EN LA ACADEMIA 2020,2020,2020,"MONITOREO DE AVES SILVESTRES EN CABO DE HORNOS: ECOLOGIA, EPIDEMIOLOGIA Y CONSERVACION",CIENCIAS NATURALES,CIENCIAS BIOLOGICAS,NO APLICA,36,2023,persona jurIdica,JUAN IGNACIO RIVERO DE AGUILAR CACHAFEIRO,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$194.700
PAI77200036,REC,PAI,SIA,CONVOCATORIA NACIONAL SUBVENCION A LA INSTALACION EN LA ACADEMIA 2020,2020,2020,"REVELANDO LA DIVERSIDAD Y PALEOBIOLOGIA DE ICTIOSAURIOS CRETACICOS PROVENIENTES DE UN DEPOSITO FOSILIFERO DE LA REGION DE MAGALLANES, SUR DE CHILE",CIENCIAS NATURALES,CIENCIAS DE LA TIERRA Y DEL MEDIO AMBIENTE,NO APLICA,36,2023,persona jurIdica,JUDITH MARIANA PARDO PEREZ,MUJER,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$179.878
EQM200088,CENTROS,FONDEQUIP,Concurso de Equipamiento CientIfico y TecnolOgico Mediano,IX CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO,2020,2020,"ADQUISICION DE UN ANALIZADOR DE CARBONO Y NITROGENO EN MUESTRAS LIQUIDAS Y SOLIDAS PARA ESTIMAR CONTENIDO, ACUMULACION Y PERDIDA DE CARBONO EN TURBERAS, BOSQUES Y CUERPOS DE AGUA DE LA PATAGONIA",CIENCIAS NATURALES,CIENCIAS DEL MEDIO AMBIENTE,NO APLICA,42,2024,PERSONA JURIDICA,KARLA MARTINEZ CRUZ,MUJER,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$92.350
1201810,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,FONDECYT REGULAR 2020,2020,2020,"ASSESSING THE ROLE OF CLIMATE-DRIVEN, OCEAN-ATMOSPHERE INTERACTIONS IN MODULATING THE ATMOSPHERE'S INTERHEMISPHERIC RADIOCARBON OFFSET DURING THE PAST 5600 YEARS.",CIENCIAS NATURALES,OTRAS ESPECIALIDADES DE CIENCIAS DE LA TIERRA,CS. DE LA TIERRA,48,2024,PERSONA NATURAL,RICARDO DE POL HOLZ,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$245.673
11201249,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,FONDECYT DE INICIACION EN INVESTIGACION 2020,2020,2020,MAGNON-POLARON EXCITATIONS IN PROMISING SCENARIOS,CIENCIAS NATURALES,CIENCIAS FISICAS,FISICA TEORICA Y EXP,36,2023,PERSONA NATURAL,ALEJANDRO ROLDAN MOLINA,HOMBRE,UNIVERSIDAD DE AYSEN,11. AYSEN,AUSTRAL,11. AYSEN,$65.460
1201513,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,FONDECYT REGULAR 2020,2020,2020,CONFIGURACION DE APEGO INFANTIL CON PADRE Y MADRE Y SU RELACION CON EL BIENESTAR PSICOLOGICO Y FISIOLOGICO,CIENCIAS SOCIALES,OTRAS ESPECIALIDADES DE LA PSICOLOGIA,SICOLOGIA,48,2024,PERSONA NATURAL,RODRIGO CARCAMO,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$217.677
EQM200182,CENTROS,FONDEQUIP,Concurso de Equipamiento CientIfico y TecnolOgico Mediano,IX CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO,2020,2020,"MICROSCOPIA DE FUERZAS ATOMICAS EN LA PATAGONIA, UN ENFOQUE MULTIDISCIPLINARIO",CIENCIAS NATURALES,OTRAS ESPECIALIDADES DE LA FISICA,NO APLICA,42,2024,PERSONA JURIDICA,FELIPE AGUILAR SANDOVAL,HOMBRE,UNIVERSIDAD DE AYSEN,11. AYSEN,AUSTRAL,11. AYSEN,$399.976
R20F0002,CENTROS,REGIONAL,Fortalecimiento a la Continuidad,CONCURSO DE FORTALECIMIENTO AL DESARROLLO CIENTIFICO DE CENTROS REGIONALES ANO 2020,2020,2020,"ECOSYSTEM, CLIMATE CHANGE AND SOCIO-ENVIRONMENTAL LINKAGES ALONG THE CONTINENT-OCEAN CONTINUUM. LONG-TERM SOCIO ECOLOGICAL RESEARCH IN PATAGONIA (PATSER)
",CIENCIAS NATURALES,,NO APLICA,36,2023,PERSONA JURIDICA,GIOVANNI DANERI HERMOSILLA,HOMBRE,CIEP,11. AYSEN,AUSTRAL,11. AYSEN,$2.750.000
ID20I10338,INVESTIGACION APLICADA,FONDEF,IDeA - I+D,CONCURSO IDEA I+D 2020,2020,2020,APLICACION DE TECNOLOGIAS DE LA INFORMACION GEOGRAFICA PARA DESARROLLAR UN SISTEMA DE GANADERIA SUSTENTABLE EN LA REGION DE MAGALLANES,CIENCIAS AGRICOLAS,,NO APLICA,24,2022,PERSONA JURIDICA,SERGIO RADIC SCHILLING,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$199.880
1200727,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,FONDECYT REGULAR 2020,2020,2020,SOLVING THE PARADOX OF CONFLICTING GLACIAL CHRONOLOGIES: RECONSTRUCTING THE CORDILLERA DARWIN ICE SHEET (53Â°-55Â°S) DURING THE LAST GLACIAL â€“ INTERGLACIAL TRANSITION.,CIENCIAS SOCIALES,CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES,GEOGRAFIA Y URBANISM,48,2024,PERSONA NATURAL,ROBERT MCCULLOCH,HOMBRE,CIEP,11. AYSEN,AUSTRAL,11. AYSEN,$188.075
R20F0009,CENTROS,REGIONAL,Fortalecimiento a la Continuidad,CONCURSO DE FORTALECIMIENTO AL DESARROLLO CIENTIFICO DE CENTROS REGIONALES ANO 2020,2020,2020,MICROBIOME OF THE EXTERNAL SURFACE OF KEYSTONE SPECIES OF ECOLOGICAL AND ECONOMIC IMPORTANCE IN THE MAGALLANES REGION AND THE CHILEAN ANTARCTIC: MICROBES AS BIOINDICATORS OF THE AQUATIC ECOSYSTEM HEALTH IN A GLOBAL WARMING SCENARIO,CIENCIAS NATURALES,,NO APLICA,36,2023,PERSONA JURIDICA,VALERIA SOUZA SALDIVAR,MUJER,CEQUA,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$2.749.910
11200331,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,FONDECYT DE INICIACION EN INVESTIGACION 2020,2020,2020,POBLAMIENTO HUMANO DE LA SIERRA BAGUALES: EXPLORACION Y CONTEXTUALIZACION DE LOS YACIMIENTOS ARQUEOLOGICOS A LO LARGO DEL HOLOCENO EN LA SECCION NORORIENTAL DE ULTIMA ESPERANZA,HUMANIDADES,HISTORIA Y ARQUEOLOGIA,ANTROP. Y ARQUE,36,2023,PERSONA NATURAL,VICTOR SIERPE GONZALEZ,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$88.049
1211976,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,FONDECYT REGULAR 2021,2021,2021,EL POBLAMIENTO TEMPRANO DEL ARCHIPIÉLAGO FUEGO-PATAGÓNICO (53º- 56º LATITUD SUR): REEVALUACIÓN DE LA CRONOLOGÍA Y DISTRIBUCIÓN ESPACIAL DE EVIDENCIAS PARA LAS ADAPTACIONES MARÍTIMAS DEL CONFÍN DEL MUNDO.,,ARQUEOLOGIA,ANTROP. Y ARQUE,48,2025,PERSONA NATURAL,MANUEL SAN ROMAN,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,
1210045,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,FONDECYT REGULAR 2021,2021,2021,BARRERAS BIOGEOGRÁFICAS EN LA CIRCULACIÓN E INTERACCIÓN DE CAZADORES RECOLECTORES PESCADORES MARINOS. EL ROL DE PENÍNSULA DE TAITAO Y GOLFO DE PENAS (~47°S) EN LA DIFERENCIACIÓN DE LAS TRAYECTORIAS CULTURALES DE PATAGONIA OCCIDENTAL.,,ARQUEOLOGIA,ANTROP. Y ARQUE,48,2025,PERSONA NATURAL,OMAR RODRIGO REYES BAEZ,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,
1210042,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,FONDECYT REGULAR 2021,2021,2021,EXPLORADORES EN AISÉN CONTINENTAL: UNA EVALUACIÓN DE LAS DISCONTINUIDADES ARQUEOLÓGICAS EN EL TIEMPO Y EL ESPACIO,,ARQUEOLOGIA,ANTROP. Y ARQUE,48,2025,PERSONA NATURAL,CESAR MENDEZ,HOMBRE,CIEP,11. AYSEN,AUSTRAL,11. AYSEN,
3210012,PROYECTOS DE INVESTIGACION,FONDECYT,POSTDOCTORADO,CONCURSO POSTDOCTORADO 2021,2021,2021,EXPORTACIÓN DE COMPONENTES BIOGÉNICOS (CARBONO ORGÁNICO E INORGÁNICO) Y FUNCIONAMIENTO DE LA BOMBA BIOLÓGICA DE CARBONO A LO LARGO DE LA COSTA DE CHILE (20-55°S).,,OCEANOGRAFIA,CS. DE LA TIERRA,36,2024,PERSONA NATURAL,EDUARDO MENSCHEL,HOMBRE,CIEP,11. AYSEN,AUSTRAL,11. AYSEN,
3200226,PROYECTOS DE INVESTIGACION,FONDECYT,POSTDOCTORADO,FONDECYT DE POSTDOCTORADO 2020,2020,2020,EFECTOS DEL THC EN LA CONDUCTA MATERNA Y LA CONDUCTA SOCIAL DE LAS CRIAS DE RATAS,CIENCIAS SOCIALES,OTRAS ESPECIALIDADES DE LA PSICOLOGIA,SICOLOGIA,36,2023,PERSONA NATURAL,FELIPE ALFARO,HOMBRE,UNIVERSIDAD DE AYSEN,11. AYSEN,AUSTRAL,11. AYSEN,$81.384
3180754,PROYECTOS DE INVESTIGACION,FONDECYT,POSTDOCTORADO,CONCURSO POSTDOCTORADO 2018,2018,2018,THE MEJA APPLICATION EFFECT ON ENDOGENOUS ABA AND AUXINS OF VACCINIUM CORYMBOSUM PLANTS AND ITS ROLE IN THE AL-RESISTANCE AND WD-AVOIDANCE MECHANISMS UNDER ALUMINUM TOXICITY AND WATER DEFICIT EPISODES,CIENCIAS AGRICOLAS,AGRONOMIA,AGRONOMIA,36,2020,PERSONA NATURAL,ELIZABETH MARIA INES ULLOA INOSTROZA,MUJER,UNIVERSIDAD DE AYSEN,11. AYSEN,AUSTRAL,11. AYSEN,$78.624
