codigo_proyecto,n,subdireccion,programa,instrumento,nombre_concurso,año_curso,año_fallo,nombre_proyecto,area_ocde,disciplina,grupo_evaluacion,duracion_meses,tipo_beneficiario,nombre_responsable,sexo,institucion_principal,macrozona,region_ejecucion,monto_adjudicado_miles,sinfo_nosolicita
EQM130027,23248,CENTROS,FONDEQUIP,CONCURSO DE EQUIPAMIENTO CIENTIFICO MEDIANO,II CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO FONDEQUIP,2013,2013,ESPECTRORADIOMETRO MULTICANAL PARA EL MONITORIO DE OZONO Y RADIACION SOLAR EN LA ANTARTICA,CIENCIAS NATURALES,CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES,NO APLICA,14,PERSONA JURIDICA,RAUL CORDERO,HOMBRE,UNIVERSIDAD DE SANTIAGO DE CHILE,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,"81561,25",""
FP130038,23367,REC,INFORMACION CIENTIFICA,FONDO DE PUBLICACION DE REVISTAS CIENTIFICAS,CONCURSO FONDO DE PUBLICACION DE REVISTAS CIENTIFICAS CHILENAS 2013,2013,2013,IMPLEMENTACION DE OPEN JOURNAL SYSTEM PARA LAS REVISTAS MAGALLANIA Y ANS INST PAT,HUMANIDADES,"",NO APLICA,9,PERSONA JURIDICA,FLAVIA MORELLO REPETTO,MUJER,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,2540,""
R13A1002,23394,CENTROS,REGIONAL,FORTALECIMIENTO A LA CONTINUIDAD CENTROS REGIONALES,I CONCURSO NACIONAL DE APOYO A LA CONTINUIDAD DE CENTROS REGIONALES DE DESARROLLO CIENTIFICO Y TECNOLOGICO DEL PROGRAMA REGIONAL DE INVESTIGACION CIENTIFICA Y TECNOLOGICA Â€“ 2013,2013,2013,APOYO A LA CONTINUIDAD DEL CENTRO DE ESTUDIOS DEL CUATERNARIO DE FUEGO-PATAGONIA Y ANTARTICA CHILENA -FUNDACION CEQUA,CIENCIAS NATURALES,"",NO APLICA,48,PERSONA JURIDICA,ELIANA PAOLA ACUÑA GOMEZ,MUJER,CEQUA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,599274,""
11130451,23578,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO INICIACION EN INVESTIGACION 2013,2013,2013,ADDRISSING GLOBAL WARMING SCENARIOS IN FRESHWATER ECOSYSTEMS USING AQUATIC INSECTS AS MODEL ORGANISMS IN THE MAGELLANIC SUB-ANTARTICA AND ANTARCTIC AND REGIONS,CIENCIAS NATURALES,BIOLOGIA 1,BIOLOGIA 1,36,PERSONA NATURAL,TAMARA ANDREA CONTADOR MEJIAS,MUJER,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,83519,""
100/102/2012-035,23786,REC,PCI,MOVILIDAD - PROGRAMA BMBF,"CONCURSO PARA PROYECTOS DE INTERCAMBIO Â€“ CONVOCATORIA 2012, CONTRAPARTE BMBF",2012,2013,(PHOTOCHILE),CIENCIAS NATURALES,"",NO APLICA,24,PERSONA NATURAL,CARLOS CARDENAS,HOMBRE,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,5600,""
100/114/2012-034Â ,23816,REC,PCI,MOVILIDAD - PROGRAMA DE COOPERACION CIENTIFICA INTERNACIONAL (PCCI) CONICYT/MINCYT (ARGENTINA),"CONCURSO PARA PROYECTOS DE INTERCAMBIO Â€“ CONVOCATORIA 2012, CONTRAPARTE MINCYT",2012,2013,LA DIATOMEA INVASOR DIDYMOSPHENIA GEMINATA EN LA PATAGONIA: MECANISMOS DE CONTROL A LOS FLORECIMIENTOS Y AUTOECOLOGIA COMPARITATIVA CON EL ESPECIE NATIVO GOMPHONEIS MINUTA.Â ,CIENCIAS NATURALES,"",NO APLICA,24,PERSONA NATURAL,BRIAN REID,HOMBRE,UNIVERSIDAD AUSTRAL DE CHILE,AUSTRAL,11. AYSEN,1800,""
EPA20096,24146,NO APLICA,EXPLORA,PRODUCTOS DE APROPIACION SOCIAL DE LA CIENCIA Y LA TECNOLOGIA,II CONCURSO NACIONAL DE PRODUCTOS DE APROPIACION SOCIAL DE LA CIENCIA Y LA TECNOLOGIA PROGRAMA EXPLORA CONICYT 2013,2013,2013,LA HISTORIA NATURAL DE LOS INVERTEBRADOS ACUATICOS: UNA HUELLA BIOCULTURAL DEL CABO DE HORNOS,CIENCIAS NATURALES,BIOLOGIA,NO APLICA,5,SIN INFORMACION,TAMARA ANDREA CONTADOR MEJIAS,MUJER,FUNDACION OMORA ONG,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,19995,""
ER13/011,24194,NO APLICA,EXPLORA,PROYECTOS ASOCIATIVOS DE DIVULGACION Y VALORACION CIENTIFICA Y TECNOLOGICA EXPLORA REGIONAL,"CONCURSO PROYECTOS ASOCIATIVOS DE DIVULGACION Y VALORACION CIENTIFICA Y TECNOLOGICA EXPLORA REGIONAL CONVOCATORIA PARA LAS REGIONES ATACAMA, COQUIMBO, O'HIGGINS, ZONA NORTE DE REGION METROPOLITANA, MAULE, BIOBIO, LOS LAGOS, AYSEN, LOS RIOS, AÑO 2013",2013,2013,PROYECTO ASOCIATIVO REGION DE AYSEN,MULTIDISCIPLINARIO,"",NO APLICA,33,PERSONA JURIDICA,PEDRO MATUS,MUJER,UNIVERSIDAD AUSTRAL DE CHILE,AUSTRAL,11. AYSEN,249105,""
ER13/012,24195,NO APLICA,EXPLORA,PROYECTOS ASOCIATIVOS DE DIVULGACION Y VALORACION CIENTIFICA Y TECNOLOGICA EXPLORA REGIONAL,PROYECTOS ASOCIATIVOS DE DIVULGACION Y VALORACION CIENTIFICA Y TECNOLOGICA EXPLORA REGIONAL AÑO 2013,2013,2013,PROYECTO ASOCIATIVO REGION DE MAGALLANES,MULTIDISCIPLINARIO,"",NO APLICA,34,PERSONA JURIDICA,MARGARITA MALVINA GARRIDO ESPINOZA,MUJER,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,130395,""
VCE1216,24416,CENTROS,PIA,VINCULACION CIENCIA - EMPRESA,CONCURSO DE VINCULACION CIENCIA - EMPRESA AÑO 2012,2012,2013,TRANSFERENCIA CIENTIFICA-TECNOLOGICA PARA LA CAPACITACION DEL SECTOR TURISMO EN LA REGION DE MAGALLANES Y ANTARTICA CHILENA,CIENCIAS SOCIALES,SOCIAL AND ECONOMIC GEOGRAPHY,NO APLICA,12,PERSONA JURIDICA,SILVIA MURCIA MUÑOZ,MUJER,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,44367,""
VCE 1216,24420,REC,REGIONAL,VINCULACION CIENCIA EMPRESA,II CONCURSO DE PROYECTOS DE VINCULACION CIENCIA-EMPRESA. REGIONES DE TARAPACA Â€“ ATACAMA Â€“ LA ARAUCANIA Â€“ MAGALLANES 2012,2012,2013,TRANSFERENCIA CIENTIFICA-TECNOLOGICA PARA LA CAPACITACION DEL SECTOR TURISMO EN LA REGION DE MAGALLANES Y ANTARTICA CHILENA,SIN INFORMACION,"",NO APLICA,12,PERSONA JURIDICA,SILVIA MURCIA MUÑOZ,MUJER,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,"44367,63",""
PRFVI0014,24594,CENTROS,REGIONAL,FORTALECIMIENTO,VI CONCURSO NACIONAL DE FORTALECIMIENTO DE CENTROS REGIONALES DE DESARROLLO CIENTIFICO Y TECNOLOGICO Â€“ 2014,2014,2014,FORTALECIMIENTO CENTRO REGIONAL CEQUA,CIENCIAS NATURALES,"",NO APLICA,19,PERSONA JURIDICA,ELIANA PAOLA ACUÑA GOMEZ,MUJER,CEQUA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,34650,""
11140027,24663,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO INICIACION EN INVESTIGACION 2014,2014,2014,LA PRIMERA GUERRA MUNDIAL EN MAGALLANES A TRAVES DE LA PRENSA REGIONAL,HUMANIDADES,HISTORIA,HISTORIA,36,PERSONA NATURAL,JOAQUIN LUCIANO BASCOPE JULIO,HOMBRE,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,70968,""
11140542,24844,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO INICIACION EN INVESTIGACION 2014,2014,2014,ANALYSIS OF IMMUNOGLOBULIN-DERIVED EPITOPES DIVERSIFICATION FOR IMPROVING IDIOTYPE VACCINATION STRATEGIES,CIENCIAS MEDICAS Y DE LA SALUD,MEDICINA G1 - CS. BIOMEDICAS,MEDICINA G1,36,PERSONA NATURAL,MARCELO ALEJANDRO NAVARRETE SIGNORILE,HOMBRE,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,86524,""
11140663,24884,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO INICIACION EN INVESTIGACION 2014,2014,2014,"APEGO, SENSIBILIDAD MATERNA, Y CALIDAD DE LOS CUIDADOS INFANTILES PARA LA ADAPTACION EN SALAS CUNA.",CIENCIAS SOCIALES,SICOLOGIA,SICOLOGIA,36,PERSONA NATURAL,RODRIGO ALEJANDRO CARCAMO LEIVA,HOMBRE,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,50799,""
