codigo_proyecto,n,subdireccion,programa,instrumento,nombre_concurso,año_curso,año_fallo,nombre_proyecto,area_ocde,disciplina,grupo_evaluacion,duracion_meses,tipo_beneficiario,nombre_responsable,sexo,institucion_principal,macrozona,region_ejecucion,monto_adjudicado_miles,sinfo_nosolicita
1140939,25927,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO REGULAR FONDECYT 2014,2014,2014,"ARQUEOLOGIA DE GRANDES ISLAS FUEGUINAS: TIERRA DEL FUEGO, DAWSON Y NAVARINO, POBLAMIENTO HUMANO E INTERACCION CULTURAL.",CIENCIAS SOCIALES,ANTROPOLOGIA Y ARQUEOLOGIA,ANTROP. Y ARQUE,48,PERSONA NATURAL,FLAVIA MORELLO REPETTO,MUJER,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,232246,""
1140940,25928,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO REGULAR FONDECYT 2014,2014,2014,MACROALGAL ADAPTIVE RADIATION: POTENTIAL LINKS TO ECOLOGICAL NICHE DIVERSITY IN THE ECOREGION OF MAGALLANES AND CHILEAN ANTARCTICA,CIENCIAS NATURALES,BIOLOGIA 1,BIOLOGIA 1,48,PERSONA NATURAL,ANDRES OMAR MANSILLA MUÑOZ,HOMBRE,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,218434,""
1140947,25931,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO REGULAR FONDECYT 2014,2014,2014,LA FUNCION DEL ESENCIALISMO EN LOS PROCESOS DE SECESION GRUPAL,CIENCIAS SOCIALES,PSICOLOGIA,SICOLOGIA,36,PERSONA NATURAL,CLAUDIA ANDREA ESTRADA GOIC,MUJER,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,57223,""
VCE4000019,26310,REC,REGIONAL,VINCULACION CIENCIA EMPRESA,IV CONCURSO DE PROYECTOS DE VINCULACION CIENCIA-EMPRESA  2014,2014,2014,TRANSFERENCIA CIENTIFICO-TECNOLOGICA PARA LA CAPACITACION DEL SECTOR TURISMO EN LA REGION DE MAGALLANES Y ANTARCTICA CHILENA. ETAPA II.,SIN INFORMACION,"",NO APLICA,18,PERSONA JURIDICA,FIORELLA ROSANNA REPETTO GIAVELLI,MUJER,CEQUA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,45000,""
CHVA030015,26344,NO APLICA,EXPLORA,"CAMPAMENTOS DE CIENCIA, TECNOLOGIA E INNOVACION EXPLORA CHILE VA!","III CONCURSO DE CAMPAMENTOS DE CIENCIA, TECNOLOGIA E INNOVACION EXPLORA CHILE VA! 2015",2015,2015,CAMPAMENTO DE CIENCIA TECNOLOGIA E INNOVACION EXPLORA CHILE VA AYSEN 2015,CIENCIAS NATURALES,"",NO APLICA,8,PERSONA JURIDICA,MARISOL ANGELICA BARRIA NAVARRO,MUJER,CIEP,AUSTRAL,11. AYSEN,79892,""
EQM150050,26372,CENTROS,FONDEQUIP,CONCURSO DE EQUIPAMIENTO CIENTIFICO MEDIANO,IV CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO FONDEQUIP,2015,2015,CHARACTERIZATION OF CLOUDS IN THE ANTARCTIC PENINSULA AND THE SOUTHERN OCEAN (CARACTERIZACION DE NUBES EN LA PENINSULA ANTARTICA Y EL OCEANO AUSTRAL),CIENCIAS NATURALES,CIENCIAS DE LA TIERRA Y DEL MEDIO AMBIENTE,NO APLICA,12,PERSONA JURIDICA,RAUL R. CORDERO,HOMBRE,UNIVERSIDAD DE SANTIAGO DE CHILE,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,171600,""
PRFC0003,26533,CENTROS,REGIONAL,FORTALECIMIENTO A LA CONTINUIDAD CENTROS REGIONALES,I CONCURSO NACIONAL DE DE FORTALECIMIENTO A LA CONTINUIDAD DE CENTROS REGIONALES DEL PROGRAMA REGIONAL 2014,2014,2015,FORTALECIMIENTO A LA CONTINUIDAD CENTRO REGIONAL CIEP,CIENCIAS NATURALES,"",NO APLICA,48,PERSONA JURIDICA,SIN INFORMACION,SIN INFORMACION,CIEP,AUSTRAL,11. AYSEN,599985,""
ID15I10623,26608,INVESTIGACION APLICADA,FONDEF,IDEA EN DOS ETAPAS,SEGUNDO CONCURSO IDEA EN DOS ETAPAS,2015,2015,DESARROLLO DE SENSORES OPTICOS TERRESTRES Y AEREOS A BORDO DE UAVS PARA EL MONITOREO DE ALBEDO EN GL ACIARES,INGENIERIA Y TECNOLOGIA,TECNOLOGIA DE LA INFORMACION Y COMUNICAC,NO APLICA,30,PERSONA JURIDICA,GINO CASASSA ROGAZINSKI,HOMBRE,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,150000,""
11150129,26649,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO INICIACION EN INVESTIGACION 2015,2015,2015,ASSESSING THE UTILITY OF ANTARCTIC SPONGES FOR STUDYING GLOBAL CLIMATE CHANGE: INDIVIDUAL TO COMMUNITY LEVEL RESPONSES,CIENCIAS NATURALES,BIOLOGIA 1,BIOLOGIA 1,36,PERSONA NATURAL,CESAR ANTONIO CARDENAS ALARCON,HOMBRE,INSTITUTO ANTARTICO CHILENO,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,100321,""
11150998,26882,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO INICIACION EN INVESTIGACION 2015,2015,2015,THE ROLE OF MELATONIN AS AN ADIPOGENIC AND THERMOGENIC SIGNALLING FOR FETAL BROWN FAT: IMPORTANCE FOR LAMBS SURVIVAL AT BIRTH,CIENCIAS AGRICOLAS,PRODUCCION ANIMAL,SALUD PROD ANIM,36,PERSONA NATURAL,FRANCISCO ANDRES SALES ZLATAR,HOMBRE,INSTITUTO DE INVESTIGACIONES AGROPECUARIAS,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,87344,""
ELAC2014/DCC-0092 B,26943,REC,PCI,INVESTIGACION CONJUNTA - ERANET-LAC,"PRIMER CONCURSO ERANET-LAC PARA PROYECTOS DE INVESTIGACION CONJUNTA, AÑO 2014",2014,2015,METHANOGENIC BIODIVERSITY AND ACTIVITY IN ARCTIC AND SUBANTARCTIC ECOSYSTEMS AFFECTED BY CLIMATE CHANG,SIN INFORMACION,"",NO APLICA,36,PERSONA JURIDICA,FREDERIC THALASSO,HOMBRE,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,50831,""
BMBF20140052,26953,REC,PCI,INVESTIGACION CONJUNTA - PROYECTOS DE INVESTIGACION CONJUNTA CONICYT CHILE - BMBF ALEMANIA,"CONCURSO DE PROYECTOS DE INTERCAMBIO PROGRAMA DE COOPERACION CIENTIFICA INTERNACIONAL Â€“ CONVOCATORIA 2014, CONTRAPARTE BMBF",2014,2015,"RESPONSES OF GLACIERS, BIOSPHERE AND HYDROLOGY TO CLIMATE VARIABILITY ACROSS THE SOUTHERN ANDES (GABY-VASA)",SIN INFORMACION,"",NO APLICA,36,PERSONA NATURAL,GINO  CASASSA ROGAZINSKI,HOMBRE,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,100000,""
ED190167,27424,NO APLICA,EXPLORA,PROYECTOS DE DIVULGACION Y VALORACION DE LA CIENCIA Y LA TECNOLOGIA,XIX CONCURSO DE PROYECTOS EXPLORA DE VALORACION Y DIVULGACION DE LA CIENCIA Y LA TECNOLOGIA 2014,2014,2015,AULAS NATURALES: APRENDIENDO SOBRE CIENCIAS DE LA TIERRA EN AREAS SILVESTRES PROTEGIDAS,CIENCIAS NATURALES,"",NO APLICA,16,PERSONA JURIDICA,INTI ANTONIO GONZALEZ RUIZ,HOMBRE,CEQUA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,29998,""
1150845,27795,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO REGULAR FONDECYT 2015,2015,2015,"DISCONTINUIDAD OCUPACIONAL HUMANA DURANTE LA TRANSICION PLEISTOCENO-HOLOCENO (11,000-8000 AÃ‘OS AP) EN CERRO BENITEZ: IMPLICANCIAS PARA LA HISTORIA DEL POBLAMIENTO DE PATAGONIA MERIDIONAL",CIENCIAS SOCIALES,ANTROPOLOGIA Y ARQUEOLOGIA,ANTROP. Y ARQUE,36,PERSONA NATURAL,FABIANA MARIA MARTIN,MUJER,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,166429,""
1150913,27824,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO REGULAR FONDECYT 2015,2015,2015,"MODELLING THE POSSIBLE ROLE OF METHANE IN DEEP-TIME, GLOBAL WARMING EVENTS USING THE DCESS EARTH SYSTEM MODEL",CIENCIAS NATURALES,CS. DE LA TIERRA,CS. DE LA TIERRA,48,PERSONA NATURAL,GARY SHAFFER,HOMBRE,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,155085,""
1151389,27984,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO REGULAR FONDECYT 2015,2015,2015,PALEOGEOGRAPHIC PATTERNS V/S CLIMATE CHANGE IN SOUTH AMERICA AND THE ANTARCTIC PENINSULA DURING THE LATEST CRETACEOUS: A POSSIBLE EXPLANATION FOR THE ORIGIN OF THE AUSTRAL BIOTA?,CIENCIAS NATURALES,CS. DE LA TIERRA,CS. DE LA TIERRA,48,PERSONA NATURAL,MARCELO ADRIAN LEPPE CARTES,HOMBRE,INSTITUTO ANTARTICO CHILENO,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,214417,""
VIU15P0084,28134,INVESTIGACION APLICADA,FONDEF,VALORIZACION DE LA INVESTIGACION EN LA UNIVERSIDAD PRIMERA ETAPA,QUINTO CONCURSO DE VALORIZACION DE LA INVESTIGACION EN LA UNIVERSIDAD (PRIMERA ETAPA),2015,2015,OPTIMIZACION DE LA FERTILIZACION Y UTILIZACION DE LAS PRADERAS PARA LA INTENSIFICACION DE LOS SISTE MAS GANADEROS EN LA REGION DE MAGALLANES,CIENCIAS AGRICOLAS,AGROPECUARIA,NO APLICA,3,PERSONA JURIDICA,ARTURO GODOY PURATIC,HOMBRE,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,2000,""
VIU15P0143,28159,INVESTIGACION APLICADA,FONDEF,VALORIZACION DE LA INVESTIGACION EN LA UNIVERSIDAD PRIMERA ETAPA,QUINTO CONCURSO DE VALORIZACION DE LA INVESTIGACION EN LA UNIVERSIDAD (PRIMERA ETAPA),2015,2015,SISTEMA DE AHORRO DE ENERGIA PARA CALEFACTORES CON REDUCCION DE CONTAMINANTES,INGENIERIA Y TECNOLOGIA,MANUFACTURA,NO APLICA,3,PERSONA JURIDICA,ROBERTO CARVAJAL NAVARRETE,HOMBRE,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,2000,""
VCE5N000003,28195,REC,REGIONAL,VINCULACION CIENCIA EMPRESA,V CONCURSO DE PROYECTOS DE VINCULACION CIENCIA-EMPRESA 2015,2015,2015,PROGRAMA DE CAPACITACION PARA GUIAS DE NATURALEZA Y PROSPECCION ARQUEOLOGICA PARA DIVERSIFICAR LOS DESTINOS TURISTICOS EN LA REGION DE MAGALLANES,MULTIDISCIPLINARIO,"",NO APLICA,19,PERSONA JURIDICA,ERNESTO DAVIS SEGUIC,HOMBRE,CEQUA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,45000,""
SA16I0064,28249,INVESTIGACION APLICADA,FONIS,CONCURSO NACIONAL DE PROYECTOS DE INVESTIGACION Y DESARROLLO EN SALUD,"XIII CONCURSO NACIONAL DE PROYECTOS DE INVESTIGACION Y DESARROLLO EN SALUD, FONIS 2016",2016,2016,EVALUACION DEL IMPACTO SANITARIO DE UN NUEVO MODELO DE ATENCION ODONTOLOGICO COMUNITARIO MINIMAMENT E INVASIVO Y BASADO EN RIESGO EN LA DISMINUCION DE LA CARIES DENTAL EN POBLACION RURAL DE LA REGION DE AYSEN,CIENCIAS MEDICAS Y DE LA SALUD,SALUD PUBLICA,NO APLICA,23,PERSONA JURIDICA,NATALIE DUFFAU ALVEAR,MUJER,DIRECCION DE SALUD RURAL DE AYSEN,AUSTRAL,11. AYSEN,30000,""
FP160017,28302,REC,INFORMACION CIENTIFICA,FONDO DE PUBLICACION DE REVISTAS CIENTIFICAS,CONCURSO FONDO DE PUBLICACION DE REVISTAS CIENTIFICAS CHILENAS 2016,2016,2016,"MEJORAMIENTO DE LA VISIBILIDAD DIGITAL E IMPACTO DE LAS REVISTAS MAGALLANIA Y ANALES DEL INSTITUTO DE LA PATAGONIA: TECNOLOGIA MOVIL, GESTION EDITORIAL Y DESARROLLO INTEGRAL DE LA PLATAFORMA OJS",CIENCIAS SOCIALES,"",NO APLICA,24,PERSONA JURIDICA,FLAVIA MORELLO REPETTO,MUJER,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,17150,""
11160391,28525,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO INICIACION EN INVESTIGACION 2016,2016,2016,"UNDERSTANDING THE DIDYMOSPHENIA GEMINATA PROLIFERATION AND ITS ROLE IN THE CARBON CYCLING OF AQUATIC ECOSYSTEMS OF THE SUB-ANTARCTIC MAGELLAN ECOREGION, CHILE",CIENCIAS NATURALES,BIOLOGIA 1,BIOLOGIA 1,36,PERSONA NATURAL,KARLA CATALINA MARTINEZ CRUZ,MUJER,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,104047,""
11160520,28553,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO INICIACION EN INVESTIGACION 2016,2016,2016,STRESS TOLERANCE OF EARLY LIFE CYCLE STAGES OF ANTARCTIC-SUBANTARCTIC DISJUNCT SEAWEEDS: REPRODUCTION PHASE-RELATED PHYSIOLOGICAL AND MOLECULAR RESPONSES,CIENCIAS NATURALES,BIOLOGIA 1,BIOLOGIA 1,36,PERSONA NATURAL,NELSO PATRICIO NAVARRO MARTINEZ,HOMBRE,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,99720,""
PAI79160136,28715,REC,PAI,INSERCION INVESTIGADORES EN LA ACADEMIA,CONCURSO NACIONAL INSERCION DE CAPITAL HUMANO AVANZADO EN LA ACADEMIA Â€“ 2016,2016,2016,FORTALECIMIENTO DE LA INVESTIGACION Y DOCENCIA EN OCEANOGRAFIA EN LA UNIVERSIDAD DE MAGALLANES,CIENCIAS NATURALES,CIENCIAS DE LA TIERRA Y DEL MEDIO AMBIENTE,NO APLICA,36,PERSONA JURIDICA,CLAUDIA MILENI ARACENA PEREZ,MUJER,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,86960,""
PAI80160052,28868,REC,PAI,"MEC - ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS","CONCURSO DE ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS, MEC 2016",2016,2016,MEIOFAUNA FROM CHILE: CONSTRASTING PATTERN BETWEEN TEMPERATE AND COLD MARINE ECOREGIONS,CIENCIAS NATURALES,"",NO APLICA,SIN INFORMACION,PERSONA JURIDICA,JUAN CAÑETE AGUILERA,HOMBRE,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,9100,""
PAI80160111,28887,REC,PAI,"MEC - ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS","CONCURSO DE ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS, MEC 2016",2016,2016,PRIMEROS PPOBLAMIENTOS HUMANOS EN AMBIENTES EXTREMOS DE SUDAMERICA,HUMANIDADES,"",NO APLICA,SIN INFORMACION,PERSONA JURIDICA,FABIANA MARTIN,MUJER,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,"13293,333",""
ECOS150039,28907,REC,PCI,MOVILIDAD - PROGRAMA DE COOPERACION CIENTIFICA ECOS/CONICYT,"PROGRAMA DE COOPERACION CIENTIFICA ECOS/CONICYT, AÑO 2015",2015,2016,GEO-BIBLIOGRAFIA DE INVESTIGACIONES CIENTIFICAS COMO HERRAMIENTA PARA LA MEDIACION TURISTICA,CIENCIAS SOCIALES,"",NO APLICA,36,PERSONA NATURAL,MANUEL MENA LARRAIN,HOMBRE,CIEP,AUSTRAL,11. AYSEN,4200,""
ER16/011,28949,NO APLICA,EXPLORA,PROYECTOS ASOCIATIVOS DE DIVULGACION Y VALORACION CIENTIFICA Y TECNOLOGICA EXPLORA REGIONAL,V CONCURSO PROYECTOS ASOCIATIVOS REGIONALES 2016,2016,2016,PROYECTO ASOCIATIVO REGIONAL _PAR EXPLORA REGION DE AYSEN_,MULTIDISCIPLINARIO,"",NO APLICA,10,PERSONA JURIDICA,MARISOL ANGELICA BARRIA NAVARRO,MUJER,UNIVERSIDAD AUSTRAL DE CHILE,AUSTRAL,11. AYSEN,405355,""
ER16/012,28950,NO APLICA,EXPLORA,PROYECTOS ASOCIATIVOS DE DIVULGACION Y VALORACION CIENTIFICA Y TECNOLOGICA EXPLORA REGIONAL,V CONCURSO PROYECTOS ASOCIATIVOS REGIONALES 2016,2016,2016,PROYECTO ASOCIATIVO REGIONAL _MAGALLANES Y ANTARTICA CHILENA_,MULTIDISCIPLINARIO,ADMINISTRACION,NO APLICA,12,PERSONA JURIDICA,MARGARITA MALVINA GARRIDO ESPINOZA,MUJER,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,405400,""
1160196,29119,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO REGULAR FONDECYT 2016,2016,2016,"LA VOCACION PRODUCTIVA, ESPECIALIZACION LABORAL, EL NIVEL EDUCATIVO Y LA FUNCIONALIDAD DEL CENTRO EMISOR Y RECEPTOR COMO FACTORES EXPLICATIVOS DE LA CONMUTACION INTER E INTRARREGIONAL EN LA REGION DE LOS ANDES AUSTRALES DE LA PATAGONIA CHILENA.",CIENCIAS SOCIALES,GEOGRAFIA Y URBANISMO,GEOGRAFIA Y URBANISM,36,PERSONA NATURAL,SERGIO ALEJANDRO SOZA AMIGO,HOMBRE,UNIVERSIDAD AUSTRAL DE CHILE,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,68088,""
1160329,29167,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO REGULAR FONDECYT 2016,2016,2016,TREE HEIGHT AS A CRUCIAL TRAIT THAT EXPLAINS SPECIES DISTRIBUTION,CIENCIAS NATURALES,BIOLOGIA 1,BIOLOGIA 1,36,PERSONA NATURAL,ALEX FAJARDO YANEZ,HOMBRE,CIEP,AUSTRAL,11. AYSEN,155960,""
1160330,29168,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO REGULAR FONDECYT 2016,2016,2016,CARBON ALLOCATION IN WINTER DECIDUOUS VERSUS EVERGREEN TREES: IS IT COORDINATED WITH NUTRIENT ALLOCATION AND LONG-DISTANCE TRANSPORT OF ASSIMILATES?,CIENCIAS NATURALES,BIOLOGIA 1,BIOLOGIA 1,36,PERSONA NATURAL,FRIDA INGRID PIPER BUSICO,MUJER,CIEP,AUSTRAL,11. AYSEN,192062,""
1161130,29386,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO REGULAR FONDECYT 2016,2016,2016,PRESENT AND FUTURE PROJECTIONS OF GLACIER EXTENT AND WATER YIELD AT MAIPO BASIN IN CENTRAL CHILE,CIENCIAS NATURALES,CS. DE LA TIERRA,CS. DE LA TIERRA,36,PERSONA NATURAL,GINO CASASSA ROGAZINSKI,HOMBRE,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,176183,""
1161353,29445,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO REGULAR FONDECYT 2016,2016,2016,FORMAS DE GOBIERNO Y MODELOS DE VALORACION DEL DESEMPEÃ‘O UNIVERSITARIO EN IBEROAMERICA: UN ESTUDIO BAJO UN ENFOQUE ORGANIZACIONAL MULTI-TEORICO,CIENCIAS SOCIALES,SOCIOLOGIA,SOCIOLOGIA CS I,48,PERSONA NATURAL,FRANCISCO ANIBAL GANGA CONTRERAS,HOMBRE,UNIVERSIDAD DE LOS LAGOS,AUSTRAL,11. AYSEN,244682,""
1161358,29447,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO REGULAR FONDECYT 2016,2016,2016,"PHYLOGEOGRAPHY, POPULATION GENETIC STRUCTURE AND CONNECTIVITY OF THE SUBANTARCTIC CRAB HALICARCINUS PLANATUS, THE FIRST ALIEN MARINE INVERTEBRATE DISCOVERED IN ANTARCTICA",CIENCIAS NATURALES,BIOLOGIA 1,BIOLOGIA 1,48,PERSONA NATURAL,KARIN FRANÃ‡OISE GERARD,MUJER,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,262068,""
VIU16P0059,29669,INVESTIGACION APLICADA,FONDEF,VALORIZACION DE LA INVESTIGACION EN LA UNIVERSIDAD PRIMERA ETAPA,SEXTO CONCURSO DE VALORIZACION DE LA INVESTIGACION EN LA UNIVERSIDAD (PRIMERA ETAPA),2016,2016,UTILIZACION DE CEPAS NATIVAS DE RHIZOBIUM COMO BIOFERTILIZANTE PARA LAS PRADERAS NATURALES DE LA REG ION DE MAGALLANES Y ANTARTICA CHILENA,CIENCIAS AGRICOLAS,AGROPECUARIA,NO APLICA,3,PERSONA JURIDICA,KARLA ACUÑA TOUMA,MUJER,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,2000,""
VIU16P0097,29685,INVESTIGACION APLICADA,FONDEF,VALORIZACION DE LA INVESTIGACION EN LA UNIVERSIDAD PRIMERA ETAPA,SEXTO CONCURSO DE VALORIZACION DE LA INVESTIGACION EN LA UNIVERSIDAD (PRIMERA ETAPA),2016,2016,REINVENTAT: SERVICIO INTEGRAL DE COCREACION Y ASESORIA EN TECNOLOGIAS ASISTIVAS Y PRODUCTOS DE APO YO PARA LA PROMOCION DE ENTORNOS ACCESIBLES,INGENIERIA Y TECNOLOGIA,TECNOLOGIA DE LA INFORMACION Y COMUNICAC,NO APLICA,3,PERSONA JURIDICA,MARIA CARRILLO BARRIA,MUJER,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,2000,""
VIU16P0129,29705,INVESTIGACION APLICADA,FONDEF,VALORIZACION DE LA INVESTIGACION EN LA UNIVERSIDAD PRIMERA ETAPA,SEXTO CONCURSO DE VALORIZACION DE LA INVESTIGACION EN LA UNIVERSIDAD (PRIMERA ETAPA),2016,2016,SOFTWARE DE EVALUACION ANTROPOMETRICA,INGENIERIA Y TECNOLOGIA,TECNOLOGIA DE LA INFORMACION Y COMUNICAC,NO APLICA,3,PERSONA JURIDICA,PAULA VILLARROEL GALLARDO,MUJER,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,2000,""
VIU15E0084,29752,INVESTIGACION APLICADA,FONDEF,VALORIZACION DE LA INVESTIGACION EN LA UNIVERSIDAD SEGUNDA ETAPA,QUINTO CONCURSO DE VALORIZACION DE LA INVESTIGACION EN LA UNIVERSIDAD (SEGUNDA ETAPA),2015,2016,OPTIMIZACION DE LA FERTILIZACION Y UTILIZACION DE LAS PRADERAS PARA LA INTENSIFICACION DE LOS SISTE MAS GANADEROS EN LA REGION DE MAGALLANES,CIENCIAS AGRICOLAS,AGROPECUARIA,NO APLICA,12,PERSONA JURIDICA,ARTURO ANDRES GODOY PURATIC,HOMBRE,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,24000,""
VCE6000013,29776,REC,REGIONAL,VINCULACION CIENCIA EMPRESA,VI CONCURSO DE PROYECTOS DE VINCULACION CIENCIA-EMPRESA 2016,2016,2016,ECOREGISTROS PARTICIPATIVOS PARA UN NUEVO DESTINO TURISTICO EN ZONAS COSTERAS: CONSTRUYENDO CAPITAL SOCIAL A TRAVES DE PROGRAMAS DE DIVERSIFICACION PRODUCTIVA,MULTIDISCIPLINARIO,"",NO APLICA,18,PERSONA JURIDICA,ANABEL  REIS PEREIRA,MUJER,CIEP,AUSTRAL,11. AYSEN,45000,""
EQM170060,29819,CENTROS,FONDEQUIP,CONCURSO DE EQUIPAMIENTO CIENTIFICO MEDIANO,VI CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO FONDEQUIP,2017,2017,VEHICULO AEREO NO TRIPULADO IMPLEMENTADO CON SENSORES MULTIESPECTRALES PARA EL MONITOREO DE LOS RECURSOS NATURALES EN LA PATAGONIA.,CIENCIAS NATURALES,AGRONOMIA,NO APLICA,12,PERSONA JURIDICA,CRISTIAN MATTAR BADER,HOMBRE,UNIVERSIDAD DE AYSEN,AUSTRAL,11. AYSEN,"156519,302",""
EQM170178,29838,CENTROS,FONDEQUIP,CONCURSO DE EQUIPAMIENTO CIENTIFICO MEDIANO,VI CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO FONDEQUIP,2017,2017,SISTEMA DE OBSERVACION DE FITOPLANCTON IN SITU CON TRANSMISION DE REGISTROS EN TIEMPO REAL: HERRAMIENTA CUANTITATIVA PARA LA DETECCION TEMPRANA DE FLORACIONES ALGALES NOCIVAS (FAN) EN FIORDOS PATAGONICOS.,CIENCIAS NATURALES,"OCEANOGRAFIA, HIDROLOGIA Y RECURSOS DEL AGUA",NO APLICA,12,PERSONA JURIDICA,MARCELO GUTIERREZ ASTETE,HOMBRE,UNIVERSIDAD DE CONCEPCION,AUSTRAL,11. AYSEN,"219463,142",""
EQUVR170012,29868,CENTROS,FONDEQUIP,EQUIPAMIENTO,VI CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO FONDEQUIP Â€“ AÑO 2017 (REGIONAL),2017,2017,IMPLEMENTACION DE RED DE MONITOREO HIDRICO Y CLIMATICO DE LARGO PLAZO EN LA RESERVA DE BIOSFERA CABO DE HORNOS,CIENCIAS NATURALES,"",NO APLICA,18,PERSONA JURIDICA,SIN INFORMACION,MUJER,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,30000,""
R17F10005,29904,CENTROS,REGIONAL,FORTALECIMIENTO,III CONCURSO DE FORTALECIMIENTO DE CENTROS REGIONALES MEDIANTE PROYECTOS DE I+D CIENCIA Y TERRITORIO. 2017,2017,2017,"INCORPORACION DE NUEVAS TECNOLOGIAS PARA
IMPLEMENTAR UN SISTEMA PILOTO DE MONITOREO
DE LOS PAISAJES Y SERVICIOS ECOSISTEMICOS EN LA
REGION DE AYSEN ",CIENCIAS NATURALES,"",NO APLICA,24,PERSONA JURIDICA,LUZ HERNANDEZ MORENO,MUJER,CIEP,AUSTRAL,11. AYSEN,99393,""
